resume_id,user_id,education,major,years_experience,city,current_job,current_job_name,target_job,target_job_name,skills,skill_levels,work_experience,project_experience,self_introduction,resume_text,source
CR0036,u036,大专,计算机科学与技术,3,深圳,15-2051.00,数据科学家,15-1211.00,计算机系统分析师,阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、编程、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.561007, ""2.A.1.b"": 0.582602, ""2.A.1.c"": 0.64216, ""2.A.1.d"": 0.547838, ""2.A.1.e"": 0.492435, ""2.A.1.f"": 0.249755, ""2.A.2.a"": 0.669396, ""2.A.2.b"": 0.59644, ""2.A.2.c"": 0.46857, ""2.A.2.d"": 0.472693, ""2.B.1.a"": 0.366083, ""2.B.1.b"": 0.465172, ""2.B.1.c"": 0.366841, ""2.B.1.d"": 0.293351, ""2.B.1.e"": 0.479838, ""2.B.1.f"": 0.432298, ""2.B.2.i"": 0.566505, ""2.B.3.a"": 0.379739, ""2.B.3.b"": 0.229122, ""2.B.3.c"": 0.217153, ""2.B.3.d"": 0.162937, ""2.B.3.e"": 0.338598, ""2.B.3.g"": 0.217524, ""2.B.3.h"": 0.255498, ""2.B.3.j"": 0.21085, ""2.B.3.k"": 0.181008, ""2.B.3.l"": 0.182351, ""2.B.3.m"": 0.33331, ""2.B.4.e"": 0.547664, ""2.B.4.g"": 0.531433, ""2.B.4.h"": 0.478662, ""2.B.5.a"": 0.364433, ""2.B.5.b"": 0.24461, ""2.B.5.c"": 0.256319, ""2.B.5.d"": 0.374818}",在深圳参与数据科学家工作3年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责数据科学家相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。,我具备大专学历，专业为计算机科学与技术，目标方向是计算机系统分析师。重视工程质量、团队协作和持续学习。,"求职方向：计算机系统分析师
教育背景：大专｜计算机科学与技术
工作经历：在深圳参与数据科学家工作3年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责数据科学家相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、编程、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备大专学历，专业为计算机科学与技术，目标方向是计算机系统分析师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0037,u037,本科,软件工程,10,杭州,15-1211.00,计算机系统分析师,15-2051.00,数据科学家,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、编程、运营监控、操作与控制、设备维护、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理,"{""2.A.1.a"": 0.618353, ""2.A.1.b"": 0.592155, ""2.A.1.c"": 0.454727, ""2.A.1.d"": 0.575814, ""2.A.1.e"": 0.450275, ""2.A.1.f"": 0.335828, ""2.A.2.a"": 0.661135, ""2.A.2.b"": 0.556541, ""2.A.2.c"": 0.395603, ""2.A.2.d"": 0.582536, ""2.B.1.a"": 0.383416, ""2.B.1.b"": 0.473416, ""2.B.1.c"": 0.365187, ""2.B.1.d"": 0.251419, ""2.B.1.e"": 0.528545, ""2.B.1.f"": 0.403722, ""2.B.2.i"": 0.528992, ""2.B.3.a"": 0.422618, ""2.B.3.b"": 0.414945, ""2.B.3.c"": 0.331198, ""2.B.3.d"": 0.270165, ""2.B.3.e"": 0.578295, ""2.B.3.g"": 0.425945, ""2.B.3.h"": 0.342958, ""2.B.3.j"": 0.281129, ""2.B.3.k"": 0.429857, ""2.B.3.l"": 0.250914, ""2.B.3.m"": 0.420069, ""2.B.4.e"": 0.552731, ""2.B.4.g"": 0.645175, ""2.B.4.h"": 0.576732, ""2.B.5.a"": 0.344483, ""2.B.5.b"": 0.378609, ""2.B.5.c"": 0.268061, ""2.B.5.d"": 0.44981}",在杭州参与计算机系统分析师工作10年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责计算机系统分析师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。,我具备本科学历，专业为软件工程，目标方向是数据科学家。重视工程质量、团队协作和持续学习。,"求职方向：数据科学家
教育背景：本科｜软件工程
工作经历：在杭州参与计算机系统分析师工作10年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责计算机系统分析师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、编程、运营监控、操作与控制、设备维护、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理
自我评价：我具备本科学历，专业为软件工程，目标方向是数据科学家。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0038,u038,本科,数据科学与大数据技术,6,成都,15-1212.00,信息安全分析师,15-1242.00,数据库管理员,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理,"{""2.A.1.a"": 0.672576, ""2.A.1.b"": 0.615345, ""2.A.1.c"": 0.495734, ""2.A.1.d"": 0.514447, ""2.A.1.e"": 0.332763, ""2.A.1.f"": 0.280973, ""2.A.2.a"": 0.570515, ""2.A.2.b"": 0.560262, ""2.A.2.c"": 0.415051, ""2.A.2.d"": 0.544504, ""2.B.1.a"": 0.359144, ""2.B.1.b"": 0.473898, ""2.B.1.c"": 0.333669, ""2.B.1.d"": 0.368657, ""2.B.1.e"": 0.368525, ""2.B.1.f"": 0.44919, ""2.B.2.i"": 0.560325, ""2.B.3.a"": 0.350607, ""2.B.3.b"": 0.378203, ""2.B.3.c"": 0.272469, ""2.B.3.d"": 0.260131, ""2.B.3.e"": 0.40367, ""2.B.3.g"": 0.515008, ""2.B.3.h"": 0.230393, ""2.B.3.j"": 0.218322, ""2.B.3.k"": 0.355188, ""2.B.3.l"": 0.258151, ""2.B.3.m"": 0.419845, ""2.B.4.e"": 0.50289, ""2.B.4.g"": 0.565171, ""2.B.4.h"": 0.574257, ""2.B.5.a"": 0.438967, ""2.B.5.b"": 0.356073, ""2.B.5.c"": 0.162628, ""2.B.5.d"": 0.380344}",在成都参与信息安全分析师工作6年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责信息安全分析师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。,我具备本科学历，专业为数据科学与大数据技术，目标方向是数据库管理员。重视工程质量、团队协作和持续学习。,"求职方向：数据库管理员
教育背景：本科｜数据科学与大数据技术
工作经历：在成都参与信息安全分析师工作6年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责信息安全分析师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理
自我评价：我具备本科学历，专业为数据科学与大数据技术，目标方向是数据库管理员。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0039,u039,硕士,网络工程,2,武汉,15-1242.00,数据库管理员,15-2051.00,数据科学家,阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.645168, ""2.A.1.b"": 0.57504, ""2.A.1.c"": 0.541716, ""2.A.1.d"": 0.52551, ""2.A.1.e"": 0.441041, ""2.A.1.f"": 0.213426, ""2.A.2.a"": 0.626881, ""2.A.2.b"": 0.507295, ""2.A.2.c"": 0.393612, ""2.A.2.d"": 0.55559, ""2.B.1.a"": 0.423936, ""2.B.1.b"": 0.458518, ""2.B.1.c"": 0.393645, ""2.B.1.d"": 0.288502, ""2.B.1.e"": 0.524947, ""2.B.1.f"": 0.444807, ""2.B.2.i"": 0.625258, ""2.B.3.a"": 0.445342, ""2.B.3.b"": 0.345333, ""2.B.3.c"": 0.266929, ""2.B.3.d"": 0.211923, ""2.B.3.e"": 0.48001, ""2.B.3.g"": 0.348138, ""2.B.3.h"": 0.259334, ""2.B.3.j"": 0.238553, ""2.B.3.k"": 0.363787, ""2.B.3.l"": 0.155079, ""2.B.3.m"": 0.387274, ""2.B.4.e"": 0.64913, ""2.B.4.g"": 0.481763, ""2.B.4.h"": 0.535015, ""2.B.5.a"": 0.381117, ""2.B.5.b"": 0.255951, ""2.B.5.c"": 0.197637, ""2.B.5.d"": 0.395717}",在武汉参与数据库管理员工作2年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责数据库管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。,我具备硕士学历，专业为网络工程，目标方向是数据科学家。重视工程质量、团队协作和持续学习。,"求职方向：数据科学家
教育背景：硕士｜网络工程
工作经历：在武汉参与数据库管理员工作2年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责数据库管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备硕士学历，专业为网络工程，目标方向是数据科学家。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0040,u040,大专,信息安全,9,西安,15-1243.00,数据库架构师,15-1244.00,网络与计算机系统管理员,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、故障排查、判断与决策、系统分析、系统评估、时间管理、物资资源管理、人员资源管理,"{""2.A.1.a"": 0.540983, ""2.A.1.b"": 0.49029, ""2.A.1.c"": 0.492617, ""2.A.1.d"": 0.560977, ""2.A.1.e"": 0.429784, ""2.A.1.f"": 0.288955, ""2.A.2.a"": 0.565119, ""2.A.2.b"": 0.456341, ""2.A.2.c"": 0.392901, ""2.A.2.d"": 0.384636, ""2.B.1.a"": 0.380859, ""2.B.1.b"": 0.457486, ""2.B.1.c"": 0.382781, ""2.B.1.d"": 0.35955, ""2.B.1.e"": 0.533583, ""2.B.1.f"": 0.425242, ""2.B.2.i"": 0.624028, ""2.B.3.a"": 0.459617, ""2.B.3.b"": 0.452326, ""2.B.3.c"": 0.150621, ""2.B.3.d"": 0.25918, ""2.B.3.e"": 0.536473, ""2.B.3.g"": 0.241381, ""2.B.3.h"": 0.26102, ""2.B.3.j"": 0.224653, ""2.B.3.k"": 0.306879, ""2.B.3.l"": 0.171569, ""2.B.3.m"": 0.263093, ""2.B.4.e"": 0.539731, ""2.B.4.g"": 0.537732, ""2.B.4.h"": 0.509449, ""2.B.5.a"": 0.371301, ""2.B.5.b"": 0.269263, ""2.B.5.c"": 0.291255, ""2.B.5.d"": 0.310025}",在西安参与数据库架构师工作9年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责数据库架构师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。,我具备大专学历，专业为信息安全，目标方向是网络与计算机系统管理员。重视工程质量、团队协作和持续学习。,"求职方向：网络与计算机系统管理员
教育背景：大专｜信息安全
工作经历：在西安参与数据库架构师工作9年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责数据库架构师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、故障排查、判断与决策、系统分析、系统评估、时间管理、物资资源管理、人员资源管理
自我评价：我具备大专学历，专业为信息安全，目标方向是网络与计算机系统管理员。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0041,u041,本科,计算机科学与技术,5,北京,15-1244.00,网络与计算机系统管理员,15-1212.00,信息安全分析师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、操作与控制、设备维护、故障排查、修复、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、物资资源管理、人员资源管理,"{""2.A.1.a"": 0.585345, ""2.A.1.b"": 0.667718, ""2.A.1.c"": 0.4845, ""2.A.1.d"": 0.50021, ""2.A.1.e"": 0.46166, ""2.A.1.f"": 0.305554, ""2.A.2.a"": 0.507539, ""2.A.2.b"": 0.523966, ""2.A.2.c"": 0.50348, ""2.A.2.d"": 0.558934, ""2.B.1.a"": 0.417319, ""2.B.1.b"": 0.481264, ""2.B.1.c"": 0.370436, ""2.B.1.d"": 0.343508, ""2.B.1.e"": 0.434527, ""2.B.1.f"": 0.287547, ""2.B.2.i"": 0.508436, ""2.B.3.a"": 0.48637, ""2.B.3.b"": 0.285978, ""2.B.3.c"": 0.389588, ""2.B.3.d"": 0.339354, ""2.B.3.e"": 0.502435, ""2.B.3.g"": 0.488552, ""2.B.3.h"": 0.499775, ""2.B.3.j"": 0.54404, ""2.B.3.k"": 0.592824, ""2.B.3.l"": 0.459613, ""2.B.3.m"": 0.569214, ""2.B.4.e"": 0.585303, ""2.B.4.g"": 0.600586, ""2.B.4.h"": 0.520121, ""2.B.5.a"": 0.49212, ""2.B.5.b"": 0.328403, ""2.B.5.c"": 0.462378, ""2.B.5.d"": 0.428622}",在北京参与网络与计算机系统管理员工作5年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责网络与计算机系统管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。,我具备本科学历，专业为计算机科学与技术，目标方向是信息安全分析师。重视工程质量、团队协作和持续学习。,"求职方向：信息安全分析师
教育背景：本科｜计算机科学与技术
工作经历：在北京参与网络与计算机系统管理员工作5年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责网络与计算机系统管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、操作与控制、设备维护、故障排查、修复、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、物资资源管理、人员资源管理
自我评价：我具备本科学历，专业为计算机科学与技术，目标方向是信息安全分析师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0042,u042,本科,软件工程,1,上海,15-1251.00,计算机程序员,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、质量控制分析、判断与决策、系统分析、系统评估、时间管理、物资资源管理、人员资源管理,"{""2.A.1.a"": 0.429685, ""2.A.1.b"": 0.514286, ""2.A.1.c"": 0.491253, ""2.A.1.d"": 0.491125, ""2.A.1.e"": 0.431768, ""2.A.1.f"": 0.361208, ""2.A.2.a"": 0.467326, ""2.A.2.b"": 0.437541, ""2.A.2.c"": 0.325667, ""2.A.2.d"": 0.367776, ""2.B.1.a"": 0.390018, ""2.B.1.b"": 0.401384, ""2.B.1.c"": 0.430978, ""2.B.1.d"": 0.317135, ""2.B.1.e"": 0.403203, ""2.B.1.f"": 0.372985, ""2.B.2.i"": 0.558387, ""2.B.3.a"": 0.46722, ""2.B.3.b"": 0.440184, ""2.B.3.c"": 0.203506, ""2.B.3.d"": 0.141315, ""2.B.3.e"": 0.763027, ""2.B.3.g"": 0.34064, ""2.B.3.h"": 0.265455, ""2.B.3.j"": 0.221827, ""2.B.3.k"": 0.265251, ""2.B.3.l"": 0.272652, ""2.B.3.m"": 0.549563, ""2.B.4.e"": 0.45515, ""2.B.4.g"": 0.452344, ""2.B.4.h"": 0.488347, ""2.B.5.a"": 0.47651, ""2.B.5.b"": 0.172201, ""2.B.5.c"": 0.290477, ""2.B.5.d"": 0.380825}",在上海参与计算机程序员工作1年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责计算机程序员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。,我具备本科学历，专业为软件工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：本科｜软件工程
工作经历：在上海参与计算机程序员工作1年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责计算机程序员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、质量控制分析、判断与决策、系统分析、系统评估、时间管理、物资资源管理、人员资源管理
自我评价：我具备本科学历，专业为软件工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0043,u043,硕士,数据科学与大数据技术,8,广州,15-1252.00,软件开发工程师,15-1253.00,软件质量保证分析师与测试工程师,阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、技术设计、运营监控、故障排查、判断与决策、系统分析、系统评估、时间管理,"{""2.A.1.a"": 0.563307, ""2.A.1.b"": 0.466364, ""2.A.1.c"": 0.49487, ""2.A.1.d"": 0.495443, ""2.A.1.e"": 0.447201, ""2.A.1.f"": 0.159841, ""2.A.2.a"": 0.568434, ""2.A.2.b"": 0.49437, ""2.A.2.c"": 0.357658, ""2.A.2.d"": 0.510151, ""2.B.1.a"": 0.448396, ""2.B.1.b"": 0.303084, ""2.B.1.c"": 0.364765, ""2.B.1.d"": 0.358401, ""2.B.1.e"": 0.372021, ""2.B.1.f"": 0.500255, ""2.B.2.i"": 0.381178, ""2.B.3.a"": 0.270446, ""2.B.3.b"": 0.516819, ""2.B.3.c"": 0.161097, ""2.B.3.d"": 0.147833, ""2.B.3.e"": 0.191121, ""2.B.3.g"": 0.37551, ""2.B.3.h"": 0.158778, ""2.B.3.j"": 0.236085, ""2.B.3.k"": 0.34451, ""2.B.3.l"": 0.238575, ""2.B.3.m"": 0.16379, ""2.B.4.e"": 0.544928, ""2.B.4.g"": 0.513216, ""2.B.4.h"": 0.520796, ""2.B.5.a"": 0.460676, ""2.B.5.b"": 0.195077, ""2.B.5.c"": 0.222922, ""2.B.5.d"": 0.267442}",在广州参与软件开发工程师工作8年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责软件开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。,我具备硕士学历，专业为数据科学与大数据技术，目标方向是软件质量保证分析师与测试工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件质量保证分析师与测试工程师
教育背景：硕士｜数据科学与大数据技术
工作经历：在广州参与软件开发工程师工作8年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责软件开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、技术设计、运营监控、故障排查、判断与决策、系统分析、系统评估、时间管理
自我评价：我具备硕士学历，专业为数据科学与大数据技术，目标方向是软件质量保证分析师与测试工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0044,u044,大专,网络工程,4,深圳,15-1253.00,软件质量保证分析师与测试工程师,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.647901, ""2.A.1.b"": 0.57564, ""2.A.1.c"": 0.583291, ""2.A.1.d"": 0.524885, ""2.A.1.e"": 0.337329, ""2.A.1.f"": 0.40447, ""2.A.2.a"": 0.602474, ""2.A.2.b"": 0.41313, ""2.A.2.c"": 0.380773, ""2.A.2.d"": 0.608376, ""2.B.1.a"": 0.38198, ""2.B.1.b"": 0.411282, ""2.B.1.c"": 0.310551, ""2.B.1.d"": 0.340966, ""2.B.1.e"": 0.328846, ""2.B.1.f"": 0.424802, ""2.B.2.i"": 0.450693, ""2.B.3.a"": 0.511549, ""2.B.3.b"": 0.381001, ""2.B.3.c"": 0.291349, ""2.B.3.d"": 0.295767, ""2.B.3.e"": 0.56919, ""2.B.3.g"": 0.428748, ""2.B.3.h"": 0.163984, ""2.B.3.j"": 0.215888, ""2.B.3.k"": 0.414959, ""2.B.3.l"": 0.142462, ""2.B.3.m"": 0.468181, ""2.B.4.e"": 0.460808, ""2.B.4.g"": 0.44141, ""2.B.4.h"": 0.476857, ""2.B.5.a"": 0.431278, ""2.B.5.b"": 0.236915, ""2.B.5.c"": 0.272013, ""2.B.5.d"": 0.30652}",在深圳参与软件质量保证分析师与测试工程师工作4年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责软件质量保证分析师与测试工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。,我具备大专学历，专业为网络工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：大专｜网络工程
工作经历：在深圳参与软件质量保证分析师与测试工程师工作4年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责软件质量保证分析师与测试工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备大专学历，专业为网络工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0045,u045,本科,信息安全,0,杭州,15-1254.00,网页开发工程师,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.562617, ""2.A.1.b"": 0.483515, ""2.A.1.c"": 0.446913, ""2.A.1.d"": 0.465736, ""2.A.1.e"": 0.374733, ""2.A.1.f"": 0.3238, ""2.A.2.a"": 0.534671, ""2.A.2.b"": 0.507151, ""2.A.2.c"": 0.395695, ""2.A.2.d"": 0.555893, ""2.B.1.a"": 0.440519, ""2.B.1.b"": 0.398564, ""2.B.1.c"": 0.497209, ""2.B.1.d"": 0.482506, ""2.B.1.e"": 0.405055, ""2.B.1.f"": 0.353906, ""2.B.2.i"": 0.520191, ""2.B.3.a"": 0.605448, ""2.B.3.b"": 0.327212, ""2.B.3.c"": 0.394495, ""2.B.3.d"": 0.22365, ""2.B.3.e"": 0.567894, ""2.B.3.g"": 0.301394, ""2.B.3.h"": 0.242367, ""2.B.3.j"": 0.271207, ""2.B.3.k"": 0.367013, ""2.B.3.l"": 0.122875, ""2.B.3.m"": 0.362739, ""2.B.4.e"": 0.48759, ""2.B.4.g"": 0.446769, ""2.B.4.h"": 0.381628, ""2.B.5.a"": 0.370006, ""2.B.5.b"": 0.220231, ""2.B.5.c"": 0.273426, ""2.B.5.d"": 0.291131}",在杭州参与网页开发工程师工作0年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责网页开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。,我具备本科学历，专业为信息安全，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：本科｜信息安全
工作经历：在杭州参与网页开发工程师工作0年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责网页开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备本科学历，专业为信息安全，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
